City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,11.62,53,93,1.57,NZ,1717467391
1,ishigaki,24.3448,124.1572,28.07,65,75,6.17,JP,1717467391
2,punta arenas,-53.15,-70.9167,0.06,93,0,2.57,CL,1717467116
3,nikolayevsk-on-amure,53.1406,140.73,5.12,67,100,3.58,RU,1717467391
4,port-aux-francais,-49.35,70.2167,1.56,91,100,17.59,TF,1717467391
5,ushuaia,-54.8,-68.3,2.81,93,100,2.06,AR,1717467391
6,springbok,-29.6643,17.8865,8.28,97,100,3.86,ZA,1717467391
7,waitangi,-43.9535,-176.5597,9.34,81,100,3.58,NZ,1717467392
8,avarua,-21.2078,-159.775,25.03,65,36,2.06,CK,1717467392
9,thompson,55.7435,-97.8558,15.09,58,40,3.09,CA,1717467392
10,lompoc,34.6391,-120.4579,19.41,81,100,9.83,US,1717467392
11,adamstown,-25.066,-130.1015,21.34,82,89,3.99,PN,1717467392
12,kodiak,57.79,-152.4072,7.73,87,100,3.6,US,1717467392
13,cuyamel,15.6667,-88.2,29.09,85,67,3.63,HN,1717467392
14,iqaluit,63.7506,-68.5145,-0.15,93,100,6.69,CA,1717467316
15,margaret river,-33.95,115.0667,17.68,76,51,3.14,AU,1717467392
16,almeirim,-1.5233,-52.5817,22.96,98,37,1.31,BR,1717467392
17,hermanus,-34.4187,19.2345,16.56,95,100,5.73,ZA,1717467393
18,qaqortoq,60.7167,-46.0333,3.51,88,99,0.21,GL,1717467393
19,tabuan,9.5156,122.8506,31.39,61,100,3.57,PH,1717467393
20,saynshand,44.8824,110.1163,24.55,31,90,4.44,MN,1717467393
21,guacamayas,18.0167,-102.2167,25.16,72,7,2.46,MX,1717467393
22,ribeira grande,38.5167,-28.7,17.22,82,20,3.6,PT,1717467393
23,wailua homesteads,22.0669,-159.378,28.24,82,100,7.2,US,1717467393
24,anadyr,64.75,177.4833,12.28,35,0,8.0,RU,1717467393
25,turkmenbasy,40.0222,52.9552,18.43,77,0,0.0,TM,1717467394
26,lhasa,29.65,91.1,12.03,42,95,0.78,CN,1717467394
27,happy valley-goose bay,53.3168,-60.3315,18.17,82,75,2.06,CA,1717467310
28,la sarre,48.8002,-79.1996,17.88,71,100,3.19,CA,1717467394
29,vorkuta,67.5,64.0,-3.26,85,100,1.51,RU,1717467394
30,mili,6.0815,171.735,28.15,78,100,5.7,MH,1717467311
31,new norfolk,-42.7826,147.0587,13.72,79,64,0.63,AU,1717467394
32,nagqu,31.5,92.0,4.94,20,100,3.26,CN,1717467395
33,castillos,-34.1667,-53.8333,7.57,77,100,1.17,UY,1717467395
34,taltal,-25.4,-70.4833,15.03,89,100,1.09,CL,1717467395
35,isafjordur,66.0755,-23.124,0.43,74,99,4.66,IS,1717467395
36,feijo,-8.1642,-70.3536,24.99,78,90,0.63,BR,1717467395
37,stanley,54.868,-1.6985,11.27,92,75,1.54,GB,1717467194
38,ulladulla,-35.35,150.4667,13.76,53,47,0.87,AU,1717467396
39,georgetown,5.4112,100.3354,29.97,84,20,0.0,MY,1717467312
40,luwuk,-0.9516,122.7875,24.57,88,100,2.79,ID,1717467396
41,grytviken,-54.2811,-36.5092,-1.26,76,17,4.05,GS,1717467396
42,bethel,41.3712,-73.414,21.47,76,0,2.06,US,1717467396
43,hawaiian paradise park,19.5933,-154.9731,26.73,81,75,2.57,US,1717467396
44,hithadhoo,-0.6,73.0833,28.42,75,39,2.75,MV,1717467396
45,dakhla,23.6848,-15.958,19.36,91,1,7.39,EH,1717467396
46,kailua-kona,19.6406,-155.9956,28.98,68,75,4.63,US,1717467153
47,dawei,14.0833,98.2,26.86,87,100,1.63,MM,1717467397
48,paredon,16.0333,-93.8667,29.77,79,44,1.78,MX,1717467397
49,playa del ingles,27.7567,-15.5787,20.86,80,2,1.6,ES,1717467129
50,kavieng,-2.5744,150.7967,29.73,70,92,2.65,PG,1717467397
51,chonchi,-42.6128,-73.8092,7.84,93,100,3.45,CL,1717467397
52,college,64.8569,-147.8028,20.97,44,75,3.09,US,1717467397
53,hassan,13.0006,76.0994,22.73,88,99,2.92,IN,1717467397
54,invercargill,-46.4,168.35,10.57,74,100,1.34,NZ,1717467397
55,west island,-12.1568,96.8225,28.99,84,75,5.14,CC,1717467397
56,mount isa,-20.7333,139.5,21.87,33,40,4.63,AU,1717467398
57,dudinka,69.4058,86.1778,-1.85,92,94,2.24,RU,1717467290
58,puerto ayora,-0.7393,-90.3518,21.97,98,70,3.12,EC,1717467398
59,anaconda,46.1285,-112.9423,9.55,76,42,6.31,US,1717467398
60,zuunmod,47.7069,106.9528,18.57,36,100,1.13,MN,1717467398
61,puerto natales,-51.7236,-72.4875,-2.72,93,99,1.13,CL,1717467123
62,redencao,-4.2258,-38.7306,23.03,95,12,0.21,BR,1717467398
63,jamestown,42.097,-79.2353,19.45,94,0,2.06,US,1717467295
64,kayyerkan,69.3786,87.7439,-2.06,89,99,2.05,RU,1717467398
65,donsol,12.9055,123.5949,30.56,71,84,4.28,PH,1717467398
66,jeddah,21.5169,39.2192,30.92,55,0,2.57,SA,1717467115
67,vorgashor,67.5833,63.95,-3.45,86,100,1.43,RU,1717467399
68,vadso,70.0744,29.7487,10.49,87,20,5.66,NO,1717467399
69,inyonga,-6.7167,32.0667,18.18,64,75,1.75,TZ,1717467399
70,kodinsk,58.6881,99.1844,13.58,60,100,1.43,RU,1717467399
71,port mathurin,-19.6833,63.4167,23.64,69,1,9.82,MU,1717467399
72,harstad,68.799,16.5293,8.66,90,100,2.24,NO,1717467399
73,ta`u,-14.2336,-169.5144,27.59,73,97,7.38,AS,1717467399
74,fortuna,40.5982,-124.1573,17.74,79,100,4.12,US,1717467399
75,hun,29.1268,15.9477,27.37,42,75,3.21,LY,1717467400
76,honiara,-9.4333,159.95,30.91,66,17,2.68,SB,1717467400
77,edinburgh of the seven seas,-37.0676,-12.3116,12.48,62,6,4.71,SH,1717467400
78,tsengel,49.4783,100.8894,16.59,53,77,1.2,MN,1717467400
79,vavuniya,8.7514,80.4971,27.07,81,76,3.45,LK,1717467400
80,albany,42.6001,-73.9662,22.11,66,100,0.89,US,1717467050
81,tiksi,71.6872,128.8694,5.65,71,36,1.71,RU,1717467400
82,mbanza kongo,-6.267,14.2401,17.71,99,15,1.04,AO,1717467400
83,kununurra,-15.7667,128.7333,24.99,57,0,5.66,AU,1717467400
84,bloomington,44.8408,-93.2983,25.18,72,0,0.0,US,1717467320
85,aasiaat,68.7098,-52.8699,-2.41,79,18,4.43,GL,1717467401
86,yellowknife,62.456,-114.3525,14.67,62,20,6.17,CA,1717467327
87,mugango,-1.6833,33.7,20.79,81,46,2.65,TZ,1717467401
88,urumqi,43.801,87.6005,14.53,59,100,2.0,CN,1717467401
89,tura,25.5198,90.2201,26.73,89,16,1.34,IN,1717467401
90,bredasdorp,-34.5322,20.0403,16.39,95,100,5.76,ZA,1717467401
91,vilyuchinsk,52.9306,158.4028,17.15,69,61,2.76,RU,1717467131
92,alice springs,-23.7,133.8833,14.75,67,2,5.14,AU,1717467401
93,el-tor,28.2364,33.6254,24.08,73,0,6.69,EG,1717467401
94,olonkinbyen,70.9221,-8.7187,0.46,91,89,12.17,SJ,1717467402
95,susuman,62.7833,148.1667,16.1,33,46,3.13,RU,1717467402
96,polyarnyy,69.1989,33.4478,10.16,91,83,1.58,RU,1717467378
97,lochow,52.5308,21.6816,14.39,98,100,2.6,PL,1717467402
98,cedeira,43.6797,-8.0209,16.02,78,23,9.24,ES,1717467402
99,san patricio,28.017,-97.5169,29.36,81,98,8.26,US,1717467402
100,pisco,-13.7,-76.2167,16.03,82,0,2.57,PE,1717467402
101,bukene,-4.2333,32.8833,18.96,61,47,1.49,TZ,1717467402
102,constantia,44.1833,28.65,17.61,85,79,1.03,RO,1717467314
103,sisimiut,66.9395,-53.6735,3.11,64,100,2.92,GL,1717467403
104,kirishi,59.4471,32.0205,17.24,94,100,1.54,RU,1717467403
105,posto fiscal rolim de moura,-13.0833,-62.2667,23.94,71,100,0.33,BR,1717467131
106,geneseo,42.7959,-77.8169,19.62,76,58,0.49,US,1717467403
107,blackmans bay,-43.0167,147.3167,13.07,94,0,0.45,AU,1717467314
108,saldanha,-33.0117,17.9442,16.03,96,43,4.54,ZA,1717467403
109,greymouth,-42.4667,171.2,10.96,71,100,1.14,NZ,1717467403
110,ust-nera,64.5667,143.2,18.77,26,19,2.12,RU,1717467403
111,san andres,12.5847,-81.7006,28.01,83,20,1.54,CO,1717467404
112,ipatovo,45.7181,42.9036,20.09,67,7,1.98,RU,1717467404
113,weno,7.4515,151.8468,31.97,79,75,4.12,FM,1717467404
114,east london,-33.0153,27.9116,13.92,52,83,6.35,ZA,1717467404
115,meadow lake,34.8014,-106.5436,29.71,11,69,4.57,US,1717467404
116,kingston,17.997,-76.7936,28.53,79,75,3.09,JM,1717467397
117,kerikeri,-35.2268,173.9474,18.28,78,100,2.24,NZ,1717467404
118,nova sintra,14.8667,-24.7167,24.53,77,100,9.39,CV,1717467405
119,kyzyl-mazhalyk,51.1333,90.6,12.17,75,45,2.24,RU,1717467405
120,codrington,-38.2667,141.9667,12.28,55,100,2.14,AU,1717467405
121,gadzhiyevo,69.2551,33.3362,9.57,93,81,2.12,RU,1717467405
122,andilamena,-17.0167,48.5833,15.48,91,98,3.9,MG,1717467405
123,cafayate,-26.073,-65.9761,10.56,79,100,2.22,AR,1717467405
124,boa vista,2.8197,-60.6733,25.99,89,20,1.54,BR,1717467301
125,nemuro,43.3236,145.575,7.68,90,100,4.26,JP,1717467405
126,nouadhibou,20.931,-17.0347,18.7,91,2,9.62,MR,1717467405
127,lensk,60.7253,114.9278,13.11,93,100,1.6,RU,1717467406
128,kapuskasing,49.4169,-82.4331,19.0,72,100,2.57,CA,1717467406
129,agat village,13.3886,144.6585,31.87,75,20,5.14,GU,1717467406
130,santiago,-33.4569,-70.6483,16.17,70,100,3.09,CL,1717467209
131,trincomalee,8.5711,81.2335,28.25,74,100,5.25,LK,1717467406
132,koutiala,12.3917,-5.4642,27.58,63,35,7.55,ML,1717467406
